     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 


         3930 	        0.000 	        -0.06 	        -2.82 	         9.40 	        -0.06 	         0.04 	        -0.10 
         3931 	        0.016 	         0.06 	        -2.77 	         9.43 	        -0.03 	        -0.01 	        -0.10 
         3932 	        0.032 	         0.06 	        -2.79 	         9.46 	        -0.01 	        -0.04 	        -0.10 
         3933 	        0.048 	         0.20 	        -2.80 	         9.43 	        -0.03 	        -0.03 	        -0.06 
         3934 	        0.064 	         0.04 	        -2.88 	         9.33 	        -0.06 	        -0.03 	        -0.03 
         3935 	        0.080 	        -0.00 	        -2.94 	         9.13 	        -0.03 	         0.00 	        -0.07 
         3936 	        0.096 	         0.11 	        -2.78 	         9.24 	        -0.03 	         0.01 	        -0.07 
         3937 	        0.112 	         0.21 	        -2.72 	         9.27 	        -0.02 	         0.00 	        -0.03 
         3938 	        0.128 	         0.07 	        -2.85 	         9.12 	         0.01 	        -0.02 	         0.00 
         3939 	        0.144 	        -0.09 	        -2.96 	         9.22 	         0.02 	        -0.02 	         0.00 
         3940 	        0.160 	        -0.02 	        -2.91 	         9.43 	         0.02 	        -0.03 	         0.00 
         3941 	        0.176 	        -0.12 	        -2.91 	         9.25 	         0.02 	        -0.01 	        -0.02 
         3942 	        0.192 	         0.12 	        -2.80 	         9.29 	         0.00 	         0.00 	        -0.02 
         3943 	        0.208 	         0.06 	        -2.74 	         9.42 	        -0.00 	        -0.01 	         0.01 
         3944 	        0.224 	        -0.02 	        -2.95 	         9.16 	        -0.01 	         0.01 	        -0.01 
         3945 	        0.240 	        -0.00 	        -2.93 	         9.33 	         0.01 	         0.02 	        -0.02 
         3946 	        0.256 	         0.12 	        -2.75 	         9.35 	        -0.00 	        -0.01 	         0.00 
         3947 	        0.272 	        -0.02 	        -2.74 	         9.47 	        -0.01 	        -0.03 	         0.01 
         3948 	        0.288 	         0.04 	        -2.87 	         9.00 	        -0.02 	         0.00 	        -0.00 
         3949 	        0.304 	         0.06 	        -2.99 	         9.25 	         0.02 	         0.01 	        -0.01 
         3950 	        0.320 	         0.02 	        -2.90 	         9.36 	         0.02 	         0.02 	        -0.01 
         3951 	        0.336 	         0.05 	        -2.79 	         9.40 	         0.00 	         0.00 	        -0.01 
         3952 	        0.352 	         0.00 	        -2.73 	         9.37 	        -0.01 	        -0.00 	         0.01 
         3953 	        0.368 	        -0.03 	        -2.89 	         9.25 	         0.01 	        -0.01 	         0.01 
         3954 	        0.384 	        -0.11 	        -2.91 	         9.49 	         0.01 	        -0.03 	         0.01 
         3955 	        0.400 	        -0.19 	        -2.96 	         9.27 	        -0.01 	        -0.03 	        -0.01 
         3956 	        0.416 	        -0.05 	        -2.96 	         9.19 	        -0.05 	         0.02 	        -0.06 
         3957 	        0.432 	         0.16 	        -2.81 	         9.31 	        -0.02 	        -0.00 	        -0.04 
         3958 	        0.448 	         0.02 	        -2.84 	         9.26 	        -0.01 	         0.01 	        -0.04 
         3959 	        0.464 	         0.06 	        -2.88 	         9.26 	        -0.02 	         0.01 	        -0.04 
         3960 	        0.480 	         0.03 	        -2.83 	         9.01 	        -0.02 	        -0.00 	        -0.02 
         3961 	        0.496 	         0.07 	        -2.88 	         9.19 	        -0.02 	        -0.03 	        -0.01 
         3962 	        0.512 	         0.05 	        -2.90 	         9.19 	        -0.01 	        -0.02 	        -0.00 
         3963 	        0.528 	        -0.01 	        -2.92 	         9.12 	        -0.00 	         0.01 	        -0.03 
         3964 	        0.544 	         0.01 	        -2.93 	         9.40 	         0.00 	         0.03 	        -0.03 
         3965 	        0.560 	         0.16 	        -2.79 	         9.24 	        -0.02 	         0.02 	        -0.03 
         3966 	        0.576 	        -0.00 	        -2.85 	         9.42 	        -0.00 	        -0.01 	        -0.03 
         3967 	        0.592 	        -0.08 	        -2.90 	         9.31 	         0.02 	        -0.02 	        -0.03 
         3968 	        0.608 	         0.19 	        -2.90 	         9.33 	        -0.02 	        -0.02 	        -0.04 
         3969 	        0.624 	         0.01 	        -2.93 	         9.26 	        -0.02 	        -0.02 	        -0.05 
         3970 	        0.640 	         0.01 	        -2.88 	         9.13 	        -0.03 	        -0.01 	        -0.03 
         3971 	        0.656 	         0.15 	        -2.87 	         9.32 	        -0.00 	        -0.00 	        -0.06 
         3972 	        0.672 	         0.13 	        -2.82 	         9.45 	        -0.01 	        -0.02 	        -0.05 
         3973 	        0.688 	         0.04 	        -2.89 	         9.30 	        -0.04 	        -0.00 	        -0.03 
         3974 	        0.704 	         0.18 	        -2.90 	         9.06 	        -0.01 	         0.01 	        -0.02 
         3975 	        0.720 	         0.16 	        -2.87 	         9.22 	         0.03 	        -0.01 	         0.01 
         3976 	        0.736 	        -0.00 	        -2.95 	         9.30 	         0.02 	         0.01 	         0.01 
         3977 	        0.752 	        -0.00 	        -2.95 	         9.32 	        -0.00 	         0.03 	        -0.02 
         3978 	        0.768 	        -0.03 	        -2.83 	         9.35 	         0.02 	        -0.00 	        -0.02 
         3979 	        0.784 	         0.02 	        -2.76 	         9.44 	         0.02 	        -0.01 	        -0.01 
         3980 	        0.800 	         0.04 	        -2.86 	         9.46 	        -0.00 	         0.00 	        -0.01 
         3981 	        0.816 	        -0.12 	        -2.98 	         9.16 	        -0.01 	        -0.02 	        -0.02 
         3982 	        0.832 	         0.11 	        -2.93 	         9.17 	         0.00 	        -0.02 	        -0.05 
         3983 	        0.848 	         0.22 	        -2.86 	         9.65 	         0.03 	        -0.03 	        -0.02 
         3984 	        0.864 	         0.16 	        -2.90 	         9.31 	         0.01 	         0.01 	        -0.01 
         3985 	        0.880 	         0.13 	        -2.83 	         9.36 	        -0.02 	         0.02 	        -0.01 
         3986 	        0.896 	         0.08 	        -2.84 	         9.14 	         0.00 	        -0.01 	         0.01 
         3987 	        0.912 	         0.04 	        -2.84 	         9.01 	         0.03 	         0.01 	         0.00 
         3988 	        0.928 	        -1.16 	        -3.18 	        10.48 	         0.07 	        -0.02 	         0.08 
         3989 	        0.944 	        -0.19 	        -3.06 	         9.55 	         0.05 	         0.02 	         0.01 
         3990 	        0.960 	        -0.05 	        -2.94 	         9.53 	         0.05 	        -0.02 	         0.00 
         3991 	        0.976 	        -0.12 	        -2.92 	         9.35 	         0.02 	         0.01 	        -0.03 
         3992 	        0.992 	         0.11 	        -2.75 	         9.42 	         0.03 	         0.01 	        -0.04 
         3993 	        1.008 	        -0.01 	        -2.77 	         9.59 	         0.02 	         0.03 	        -0.05 
         3994 	        1.024 	         0.08 	        -2.92 	         9.37 	        -0.08 	         0.16 	        -0.11 
         4207 	        1.040 	        -0.05 	         0.00 	        10.03 	         0.00 	         0.01 	         0.00 
         4208 	        1.056 	        -0.05 	         0.02 	        10.11 	        -0.00 	         0.00 	         0.00 
         4209 	        1.072 	        -0.01 	         0.02 	        10.03 	         0.00 	        -0.00 	        -0.00 
         4210 	        1.088 	        -0.02 	         0.03 	        10.07 	         0.00 	        -0.01 	         0.00 
         4211 	        1.104 	        -0.06 	         0.02 	        10.03 	         0.01 	        -0.01 	        -0.00 
         4212 	        1.120 	        -0.04 	        -0.01 	        10.02 	         0.01 	        -0.01 	        -0.00 
         4213 	        1.136 	        -0.04 	         0.03 	         9.99 	         0.00 	        -0.00 	        -0.00 
         4214 	        1.152 	        -0.01 	         0.01 	        10.09 	         0.01 	         0.01 	        -0.00 
         4215 	        1.168 	        -0.05 	         0.04 	        10.04 	        -0.01 	         0.01 	         0.00 
         4216 	        1.184 	        -0.01 	         0.02 	        10.05 	         0.00 	         0.01 	        -0.00 
         4217 	        1.200 	        -0.03 	         0.03 	        10.05 	        -0.00 	         0.00 	        -0.00 
         4218 	        1.216 	        -0.02 	         0.04 	        10.03 	         0.00 	        -0.00 	         0.00 
         4219 	        1.232 	        -0.04 	         0.01 	        10.09 	         0.00 	         0.00 	         0.00 
         4220 	        1.248 	        -0.00 	         0.01 	        10.00 	        -0.00 	         0.00 	         0.00 
         4221 	        1.264 	        -0.03 	         0.02 	        10.09 	         0.00 	         0.00 	        -0.00 
         4222 	        1.280 	        -0.03 	         0.03 	         9.99 	        -0.01 	         0.00 	         0.00 
         4223 	        1.296 	        -0.04 	         0.02 	        10.04 	         0.00 	        -0.00 	        -0.00 
         4224 	        1.312 	        -0.03 	         0.00 	        10.02 	         0.00 	        -0.00 	         0.00 
         4225 	        1.328 	         0.02 	         0.04 	        10.04 	        -0.00 	         0.00 	         0.00 
         4226 	        1.344 	        -0.04 	         0.04 	        10.02 	         0.00 	         0.00 	        -0.00 
         4227 	        1.360 	        -0.05 	         0.04 	        10.03 	        -0.00 	        -0.00 	        -0.00 
         4228 	        1.376 	        -0.02 	        -0.00 	        10.03 	         0.00 	         0.00 	        -0.00 
         4229 	        1.392 	        -0.05 	         0.06 	        10.02 	        -0.00 	         0.00 	        -0.00 
         4230 	        1.408 	        -0.01 	         0.02 	        10.07 	        -0.00 	         0.01 	         0.00 
         4231 	        1.424 	        -0.01 	         0.02 	        10.02 	        -0.00 	         0.01 	        -0.00 
         4232 	        1.440 	        -0.03 	        -0.00 	        10.06 	         0.00 	         0.01 	        -0.00 
         4233 	        1.456 	        -0.08 	         0.07 	        10.03 	         0.00 	         0.00 	        -0.00 
         4234 	        1.472 	        -0.02 	         0.02 	        10.03 	         0.00 	         0.00 	        -0.00 
         4235 	        1.488 	        -0.01 	         0.01 	        10.02 	        -0.00 	        -0.00 	         0.00 
         4236 	        1.504 	        -0.05 	         0.02 	        10.01 	         0.01 	        -0.01 	         0.00 
         4237 	        1.520 	        -0.01 	        -0.01 	        10.08 	         0.01 	        -0.01 	        -0.00 
         4238 	        1.536 	        -0.03 	         0.02 	        10.00 	         0.01 	        -0.01 	         0.00 
         4239 	        1.552 	        -0.00 	         0.01 	        10.05 	        -0.00 	        -0.00 	         0.00 
         4240 	        1.568 	        -0.03 	         0.05 	        10.01 	         0.00 	        -0.00 	        -0.00 
         4241 	        1.584 	        -0.03 	        -0.01 	        10.03 	         0.00 	        -0.00 	         0.00 
         4242 	        1.600 	        -0.02 	         0.04 	        10.00 	         0.00 	         0.00 	        -0.00 
         4243 	        1.616 	         0.01 	         0.03 	        10.01 	         0.00 	         0.01 	        -0.00 
         4244 	        1.632 	        -0.01 	         0.04 	        10.04 	        -0.00 	         0.00 	        -0.00 
         4245 	        1.648 	        -0.01 	         0.00 	        10.00 	         0.00 	         0.00 	        -0.00 
         4246 	        1.664 	        -0.04 	         0.07 	        10.06 	        -0.00 	         0.01 	        -0.00 
         4247 	        1.680 	        -0.03 	         0.02 	         9.98 	        -0.00 	         0.01 	        -0.00 
         4248 	        1.696 	        -0.02 	         0.03 	        10.06 	         0.00 	         0.01 	         0.00 
         4249 	        1.712 	        -0.04 	         0.07 	         9.99 	        -0.00 	        -0.01 	        -0.00 
         4250 	        1.728 	        -0.03 	         0.00 	        10.04 	         0.01 	        -0.01 	         0.00 
         4251 	        1.744 	        -0.03 	         0.06 	        10.00 	         0.00 	        -0.01 	        -0.00 
         4252 	        1.760 	        -0.01 	         0.02 	        10.01 	         0.00 	        -0.00 	         0.00 
         4253 	        1.776 	        -0.01 	         0.04 	        10.05 	        -0.00 	        -0.00 	        -0.00 
         4254 	        1.792 	        -0.00 	        -0.03 	        10.01 	        -0.00 	         0.00 	        -0.00 
         4255 	        1.808 	        -0.04 	         0.03 	        10.06 	         0.00 	         0.00 	        -0.00 
         4256 	        1.824 	        -0.02 	        -0.01 	         9.99 	         0.01 	         0.01 	         0.00 
         4257 	        1.840 	        -0.05 	         0.07 	        10.07 	         0.01 	        -0.01 	        -0.00 
         4258 	        1.856 	        -0.04 	        -0.01 	        10.01 	         0.01 	        -0.00 	        -0.00 
         4259 	        1.872 	         0.06 	         0.11 	         9.82 	         0.04 	        -0.03 	        -0.00 
         4260 	        1.888 	        -0.01 	         0.05 	         9.95 	         0.03 	        -0.02 	        -0.00 
         4261 	        1.904 	         0.01 	         0.05 	         9.98 	         0.01 	         0.02 	        -0.00 
         4262 	        1.920 	        -0.01 	         0.05 	        10.02 	         0.01 	         0.03 	        -0.00 
         4263 	        1.936 	        -0.58 	        -0.10 	        10.03 	        -0.02 	         0.11 	         0.08 
         4264 	        1.952 	        -2.05 	        -0.40 	         9.95 	        -0.02 	         0.12 	         0.11 
         4265 	        1.968 	        -1.23 	        -0.20 	         9.96 	        -0.02 	         0.14 	         0.15 
         4266 	        1.984 	        -1.58 	        -0.20 	        10.06 	        -0.06 	         0.38 	         0.28 
         4267 	        2.000 	        -0.88 	        -0.13 	        10.15 	        -0.10 	         0.63 	         0.50 
         4268 	        2.016 	        -1.07 	        -0.09 	        10.10 	        -0.14 	         0.85 	         0.19 
         4269 	        2.032 	        -0.16 	        -0.00 	         9.95 	        -0.18 	         0.99 	        -0.00 
         4270 	        2.048 	         0.92 	        -0.80 	        10.00 	        -0.14 	         0.73 	         0.20 
         4271 	        2.064 	         1.05 	         0.17 	         9.90 	        -0.10 	         0.55 	         0.36 
         4272 	        2.080 	        -0.75 	        -0.22 	        10.19 	        -0.09 	         0.50 	         0.18 
         4273 	        2.096 	        -1.60 	         0.15 	        10.02 	        -0.16 	         0.67 	         0.08 
         4274 	        2.112 	         2.77 	        -0.88 	        10.36 	        -0.26 	         0.94 	         0.17 
         4275 	        2.128 	        -4.46 	         0.64 	        10.11 	        -0.20 	         0.90 	         0.25 
         4276 	        2.144 	         0.19 	         0.41 	         9.28 	        -0.34 	         1.28 	         0.18 
         4277 	        2.160 	         1.78 	        -0.25 	         9.52 	        -0.23 	         1.42 	        -0.00 
         4278 	        2.176 	         0.64 	        -1.76 	        10.53 	        -0.11 	         1.15 	         0.04 
         4279 	        2.192 	        -1.75 	         0.51 	         8.98 	        -0.20 	         1.39 	         0.14 
         4280 	        2.208 	        -1.32 	        -0.67 	         9.85 	         0.05 	         0.72 	         0.07 
         4281 	        2.224 	        -1.39 	        -0.18 	        10.08 	         0.10 	         0.61 	         0.13 
         4282 	        2.240 	        -0.04 	        -1.36 	        10.22 	         0.02 	         0.93 	        -0.10 
         4283 	        2.256 	        -2.84 	        -0.16 	         9.91 	         0.07 	         0.42 	         0.27 
         4284 	        2.272 	        -4.45 	         0.72 	         8.52 	        -0.19 	         1.07 	         0.12 
         4285 	        2.288 	        -2.60 	        -0.26 	         9.67 	        -0.17 	         0.58 	        -0.05 
         4286 	        2.304 	        -5.03 	        -0.26 	         8.31 	        -0.34 	         0.18 	        -0.06 
         4287 	        2.320 	        -5.93 	         1.05 	        12.01 	        -0.23 	         0.35 	        -0.02 
         4288 	        2.336 	        -5.58 	         0.09 	         8.75 	        -0.30 	         0.29 	        -0.15 
         4289 	        2.352 	         1.27 	        -0.88 	         8.95 	        -0.12 	         0.64 	        -0.18 
         4290 	        2.368 	        -2.42 	        -0.52 	         9.77 	        -0.26 	        -0.35 	        -0.21 
         4291 	        2.384 	        -0.29 	        -0.37 	         9.38 	        -0.30 	        -0.05 	        -0.11 
         4292 	        2.400 	        -4.81 	        -0.61 	         9.54 	        -0.10 	        -0.60 	         0.05 
         4293 	        2.416 	        -3.06 	        -0.89 	        11.27 	        -0.12 	        -0.72 	         0.17 
         4294 	        2.432 	        -3.79 	        -0.70 	         8.78 	        -0.02 	        -0.81 	         0.15 
         4295 	        2.448 	        -2.49 	        -0.55 	         9.37 	         0.01 	        -0.77 	        -0.02 
         4296 	        2.464 	        -2.30 	        -0.86 	         9.31 	         0.07 	        -0.82 	        -0.08 
         4297 	        2.480 	        -2.08 	        -0.75 	         9.68 	         0.06 	        -1.08 	        -0.05 
         4298 	        2.496 	        -1.54 	        -0.27 	         7.87 	        -0.02 	        -1.10 	        -0.09 
         4299 	        2.512 	        -1.87 	         0.01 	         8.17 	         0.18 	        -1.19 	         0.08 
         4300 	        2.528 	        -2.28 	        -0.19 	         9.41 	         0.10 	        -1.23 	        -0.09 
         4301 	        2.544 	        -1.45 	         0.01 	         9.00 	         0.23 	        -1.09 	        -0.03 
         4302 	        2.560 	        -1.00 	        -0.35 	         9.94 	         0.16 	        -0.94 	         0.04 
         4303 	        2.576 	        -1.09 	        -0.33 	         9.72 	         0.38 	        -1.28 	         0.15 
         4304 	        2.592 	        -1.56 	        -0.21 	         9.56 	         0.35 	        -1.17 	         0.08 
         4305 	        2.608 	        -1.42 	        -0.69 	         9.56 	         0.12 	        -0.48 	        -0.07 
         4306 	        2.624 	        -0.45 	        -0.31 	         9.73 	         0.11 	        -0.44 	        -0.03 
         4307 	        2.640 	        -1.64 	        -0.04 	         9.23 	         0.17 	        -0.36 	         0.03 
         4308 	        2.656 	        -0.14 	        -0.44 	         9.93 	         0.21 	        -0.34 	        -0.03 
         4309 	        2.672 	        -0.94 	         0.21 	         9.27 	         0.21 	        -0.38 	        -0.03 
         4310 	        2.688 	        -0.83 	         0.03 	         9.41 	         0.34 	        -0.46 	        -0.05 
         4311 	        2.704 	        -1.21 	        -0.29 	         9.02 	         0.34 	        -0.40 	        -0.03 
         4312 	        2.720 	        -1.05 	        -0.11 	         9.76 	         0.38 	        -0.42 	         0.05 
         4313 	        2.736 	        -0.05 	         0.13 	        10.04 	         0.55 	        -0.47 	         0.03 
         4314 	        2.752 	        -0.40 	         0.05 	         9.92 	         0.60 	        -0.28 	         0.02 
         4315 	        2.768 	        -0.14 	         0.30 	        10.00 	         0.02 	        -0.54 	         0.02 
         4316 	        2.784 	        -0.08 	         0.14 	         9.84 	        -0.09 	        -0.40 	         0.09 
         4317 	        2.800 	         0.05 	         0.17 	         9.98 	        -0.04 	        -0.04 	         0.05 
         4318 	        2.816 	         0.06 	         0.14 	         9.90 	        -0.02 	        -0.00 	         0.01 
         4319 	        2.832 	         0.05 	         0.11 	         9.99 	        -0.03 	         0.00 	         0.02 
         4320 	        2.848 	         0.08 	         0.16 	         9.97 	        -0.02 	        -0.00 	         0.01 
         4321 	        2.864 	         0.09 	         0.11 	        10.00 	        -0.03 	         0.01 	         0.01 
         4322 	        2.880 	         0.08 	         0.10 	        10.04 	        -0.03 	         0.01 	         0.00 
         4323 	        2.896 	         0.08 	         0.11 	         9.99 	        -0.02 	         0.01 	        -0.00 
         4324 	        2.912 	         0.04 	         0.14 	        10.02 	        -0.02 	         0.01 	         0.00 
         4325 	        2.928 	         0.04 	         0.16 	        10.00 	        -0.01 	         0.00 	         0.01 
         4326 	        2.944 	         0.08 	         0.09 	         9.95 	        -0.02 	         0.00 	         0.01 
         4327 	        2.960 	         0.11 	         0.10 	         9.97 	        -0.02 	         0.01 	         0.00 
         4328 	        2.976 	         0.06 	         0.16 	        10.13 	        -0.01 	         0.00 	         0.01 
         4329 	        2.992 	         0.03 	         0.03 	         9.85 	        -0.02 	        -0.00 	         0.00 
         4330 	        3.008 	         0.10 	         0.06 	        10.04 	        -0.01 	         0.01 	         0.00 
         4331 	        3.024 	        -0.10 	         0.13 	        10.26 	        -0.01 	         0.00 	         0.01 
         4332 	        3.040 	         0.07 	         0.12 	        10.01 	        -0.01 	         0.03 	         0.00 
         4333 	        3.056 	         0.06 	         0.11 	        10.00 	        -0.03 	         0.04 	         0.00 
         4334 	        3.072 	         0.04 	         0.12 	         9.96 	        -0.02 	         0.03 	         0.00 
         4335 	        3.088 	         0.08 	         0.08 	        10.02 	        -0.01 	         0.02 	         0.00 
         4336 	        3.104 	         0.03 	         0.09 	        10.03 	        -0.03 	         0.05 	         0.00 
         4337 	        3.120 	         0.02 	         0.09 	         9.95 	        -0.02 	         0.05 	        -0.00 
         4338 	        3.136 	        -0.00 	         0.08 	        10.06 	        -0.02 	         0.05 	         0.00 
         4339 	        3.152 	         0.03 	         0.08 	        10.00 	        -0.02 	         0.03 	         0.00 
         4340 	        3.168 	        -0.01 	         0.08 	        10.04 	        -0.00 	         0.02 	        -0.00 
         4341 	        3.184 	         0.00 	         0.10 	         9.98 	        -0.00 	         0.04 	         0.00 
         4342 	        3.200 	        -0.01 	         0.08 	        10.01 	        -0.01 	         0.05 	         0.00 
         4343 	        3.216 	         0.01 	         0.08 	         9.99 	        -0.01 	         0.05 	        -0.00 
         4344 	        3.232 	        -0.02 	         0.09 	         9.98 	        -0.01 	         0.05 	        -0.00 
         4345 	        3.248 	        -0.05 	         0.09 	        10.02 	        -0.02 	         0.08 	        -0.00 
         4346 	        3.264 	        -0.02 	         0.11 	         9.96 	        -0.01 	         0.08 	        -0.01 
         4347 	        3.280 	         0.00 	         0.15 	        10.06 	        -0.03 	         0.22 	        -0.01 
         4348 	        3.296 	        -0.13 	         0.09 	         9.94 	        -0.03 	         0.42 	        -0.02 
         4349 	        3.312 	        -0.11 	         0.08 	        10.05 	        -0.09 	         0.67 	        -0.03 
         4350 	        3.328 	        -0.33 	         0.06 	         9.97 	        -0.04 	         0.76 	        -0.06 
         4351 	        3.344 	        -0.35 	        -0.04 	        10.03 	        -0.07 	         0.71 	        -0.04 
         4352 	        3.360 	        -0.40 	         0.00 	        10.07 	        -0.26 	         0.47 	        -0.07 
         4353 	        3.376 	        -5.09 	        -0.48 	        11.44 	         0.03 	        -0.29 	         0.22 
         4354 	        3.392 	        -0.82 	        -0.11 	         9.85 	        -0.20 	         0.25 	         0.02 
         4355 	        3.408 	        -0.43 	        -0.16 	         9.89 	        -0.13 	         0.39 	         0.06 
         4356 	        3.424 	        -0.87 	        -0.08 	         9.63 	         0.03 	         0.76 	         0.09 
         4357 	        3.440 	        -1.17 	        -0.12 	         9.82 	         0.10 	         1.16 	         0.09 
         4358 	        3.456 	        -1.45 	        -0.14 	         9.68 	         0.04 	         1.66 	         0.08 
         4359 	        3.472 	        -1.68 	        -0.32 	         9.78 	        -0.22 	         1.92 	         0.06 
         4360 	        3.488 	        -0.64 	        -0.55 	         8.97 	        -0.25 	         1.78 	        -0.46 
         4361 	        3.504 	        -1.53 	         0.11 	         9.97 	        -0.28 	         1.68 	        -0.33 
         4362 	        3.520 	        -1.18 	        -1.06 	        10.76 	        -0.30 	         0.95 	        -0.40 
         4363 	        3.536 	        -2.85 	         0.51 	         9.12 	        -0.26 	         0.69 	        -0.39 
         4364 	        3.552 	        -2.63 	         0.31 	         8.45 	        -0.12 	         0.97 	        -0.29 
         4365 	        3.568 	        -2.98 	        -0.28 	         9.70 	        -0.06 	         1.33 	        -0.29 
         4366 	        3.584 	        -3.10 	        -0.37 	         9.92 	        -0.07 	         1.38 	        -0.23 
         4367 	        3.600 	        -2.88 	        -0.41 	         9.27 	        -0.23 	         1.25 	        -0.22 
         4368 	        3.616 	        -2.68 	        -0.18 	         9.65 	        -0.22 	         1.18 	        -0.22 
         4369 	        3.632 	        -4.27 	        -1.06 	         9.63 	        -0.17 	         1.05 	        -0.24 
         4370 	        3.648 	        -2.61 	        -1.00 	         9.24 	        -0.28 	         0.95 	        -0.45 
         4371 	        3.664 	        -3.27 	        -0.18 	         8.72 	        -0.14 	         0.83 	        -0.31 
         4372 	        3.680 	        -3.55 	        -0.33 	         8.98 	        -0.07 	         1.02 	        -0.30 
         4373 	        3.696 	        -3.10 	         0.26 	         9.59 	        -0.10 	         1.21 	        -0.36 
         4374 	        3.712 	        -2.81 	         0.02 	         7.66 	        -0.10 	         0.99 	        -0.24 
         4375 	        3.728 	        -4.58 	        -0.89 	         8.71 	         0.13 	         1.02 	        -0.12 
         4376 	        3.744 	        -4.04 	        -0.87 	         8.79 	         0.08 	         1.30 	        -0.23 
         4377 	        3.760 	        -4.95 	        -1.55 	        10.22 	        -0.15 	         1.37 	        -0.36 
         4378 	        3.776 	        -2.29 	        -0.19 	        10.41 	        -0.05 	         1.38 	        -0.38 
         4379 	        3.792 	        -4.51 	        -0.37 	         8.46 	         0.08 	         0.84 	        -0.22 
         4380 	        3.808 	        -4.38 	        -0.27 	         9.05 	         0.02 	         1.15 	        -0.38 
         4381 	        3.824 	        -5.37 	        -1.13 	         8.97 	        -0.33 	         1.26 	        -0.48 
         4382 	        3.840 	        -8.95 	        -1.26 	        12.59 	        -1.14 	         1.84 	        -0.81 
         4383 	        3.856 	        -6.02 	        -1.06 	         6.50 	        -0.13 	         1.16 	        -0.39 
         4384 	        3.872 	        -6.27 	        -1.31 	         7.04 	         0.15 	         1.01 	        -0.52 
         4385 	        3.888 	        -4.29 	        -0.55 	         9.65 	         0.02 	         0.67 	        -0.55 
         4386 	        3.904 	        -5.17 	        -1.06 	         7.87 	         0.00 	         0.10 	        -0.41 
         4387 	        3.920 	        -6.77 	        -1.15 	         7.52 	        -0.00 	         0.01 	        -0.28 
         4388 	        3.936 	        -6.17 	        -1.16 	         7.74 	        -0.00 	        -0.08 	        -0.16 
         4389 	        3.952 	        -5.90 	        -1.29 	         7.53 	        -0.01 	         0.02 	        -0.18 
         4390 	        3.968 	        -5.29 	        -1.25 	         7.64 	         0.02 	         0.29 	        -0.33 
         4391 	        3.984 	        -6.66 	        -1.41 	         7.26 	        -0.03 	         0.44 	        -0.29 
         4392 	        4.000 	        -5.84 	        -1.28 	         8.55 	         0.10 	         0.76 	        -0.40 
         4393 	        4.016 	        -7.31 	        -0.75 	         5.84 	         0.07 	         0.64 	        -0.18 
         4394 	        4.032 	        -5.56 	        -3.00 	         9.55 	         0.14 	         0.75 	        -0.39 
         4395 	        4.048 	        -4.98 	        -0.55 	         5.55 	        -0.09 	         0.74 	        -0.42 
         4396 	        4.064 	        -6.96 	        -2.35 	        10.80 	        -0.09 	         0.93 	        -0.43 
         4397 	        4.080 	        -6.33 	        -1.59 	         7.00 	         0.11 	         0.46 	        -0.21 
         4398 	        4.096 	        -6.51 	        -2.02 	         6.54 	         0.02 	         0.30 	        -0.15 
         4399 	        4.112 	        -6.30 	        -1.47 	         7.18 	        -0.01 	         0.54 	        -0.21 
         4400 	        4.128 	        -6.77 	        -1.57 	         6.95 	         0.37 	         0.64 	        -0.18 
         4401 	        4.144 	        -7.38 	        -2.09 	         6.89 	         0.15 	         0.79 	        -0.14 
         4402 	        4.160 	        -6.94 	        -1.74 	         7.08 	         0.02 	         0.69 	        -0.32 
         4403 	        4.176 	        -6.71 	        -1.78 	         7.89 	         0.04 	         0.53 	        -0.27 
         4404 	        4.192 	        -5.80 	        -1.59 	         6.77 	        -0.03 	         0.63 	        -0.36 
         4405 	        4.208 	        -6.91 	        -1.74 	         7.54 	         0.00 	         0.56 	        -0.28 
         4406 	        4.224 	        -6.73 	        -1.78 	         6.88 	        -0.08 	         0.37 	        -0.21 
         4407 	        4.240 	        -7.23 	        -1.94 	         7.11 	         0.07 	         0.28 	        -0.18 
         4408 	        4.256 	        -7.14 	        -1.72 	         6.73 	        -0.11 	         0.40 	        -0.28 
         4409 	        4.272 	        -7.10 	        -1.53 	         6.33 	        -0.07 	         0.66 	        -0.24 
         4410 	        4.288 	        -6.37 	        -1.57 	         6.92 	        -0.22 	         1.02 	        -0.30 
         4411 	        4.304 	        -6.55 	        -1.83 	         6.38 	        -0.55 	         1.10 	        -0.36 
         4412 	        4.320 	        -6.87 	        -2.00 	         5.75 	        -0.36 	         0.88 	        -0.19 
         4413 	        4.336 	        -6.94 	        -1.72 	         4.96 	        -0.31 	         0.93 	        -0.19 
         4414 	        4.352 	        -7.15 	        -2.18 	         6.37 	        -0.14 	         0.65 	        -0.06 
         4415 	        4.368 	        -6.89 	        -1.90 	         6.33 	        -0.20 	         0.41 	        -0.08 
         4416 	        4.384 	        -7.51 	        -2.21 	         6.34 	        -0.23 	         0.50 	        -0.08 
         4417 	        4.400 	        -7.61 	        -2.13 	         5.94 	        -0.25 	         0.61 	        -0.09 
         4418 	        4.416 	        -7.73 	        -2.40 	         6.12 	        -0.48 	         0.75 	        -0.17 
         4419 	        4.432 	        -8.08 	        -1.91 	         4.41 	        -0.45 	         0.91 	        -0.18 
